00ALIMENTOS15-04-2021 00:06:2801;;;;;;;;;;;;
ID_CORPO;ID_ALIMENTO;NOME;PORÇÃO;CALORIAS;COLESTEROL;CARBOIDRATO;FIBRA;CALCIO;FERRO;SODIO;PROTEINA;CATEGORIA_ID
2;1;Arroz integral cozido                        ;100;123,53;0;25,8;2,74;5,2;0,26;1,24;2,58;1
2;2;Arroz integral cru                           ;100;359,67;0;77,45;4,81;7,81;0,94;1,64;7,32;1
2;3;Arroz branco cozido                          ;100;128,25;0;28,05;1,56;3,54;0,07;1,2;2,52;1
2;4;Arroz branco cru                             ;100;357,78;0;78,75;1,63;4,41;0,07;1,01;7,15;1
2;5;Aveia em flocas crua                         ;100;393,82;0;66,63;9,13;47,89;4,44;4,62;13,92;1
2;6;Bolacha de maisena                           ;100;442,81;0;75,23;2,1;54,45;1,76;352,02;8,07;1
2;7;Bolacha recheada de chocolate                ;100;471,82;0;70,54;2,95;27,23;2,27;239,02;6,39;1
2;8;Bolacha recheada de morango                  ;100;471,17;0;71,01;1,53;35,78;1,48;229,81;5,71;1
2;9;Bolacha Wafer de chocolate                   ;100;502,45;0;67,53;1,8;23,34;2,44;137,24;5,56;1
2;10;Bolacha wafer de morango                     ;100;513,44;1,26;67,35;0,82;13,7;1,09;119,9;4,51;1
2;11;Bolacha cream cracker                        ;100;431,73;0;68,73;2,51;20;2,02;854,35;10,05;1
2;12;Bolo de mandioca                             ;100;323,85;73,2;47,88;0,69;85;0,48;111;4,41;1
2;13;Bolo de chocolate                            ;100;410,01;76,79;54,71;1,43;74,58;2,13;283,03;6,22;1
2;14;Bolo de coco                                 ;100;33,43;63,2;52,27;57,1;1,05;0,84;190,33;5,06;1
2;15;Bolo de milho                                ;100;311,38;81,68;45,1;0,71;82,58;0,65;133,81;4,8;1
2;16;Canjica crua                                 ;100;357,6;0;78,06;5,49;1,96;0,32;0,78;7,02;1
2;17;Canjica com leite                            ;100;112,45;1,35;23,62;1,21;42,56;0,05;27,58;2,36;1
2;18;Mingau de milho                              ;100;394,42;0;87,26;3,21;218,8;3,03;399,4;6,43;1
2;19;Mistura pra vitamina                         ;100;381,13;0;81,61;4,98;584,25;12,64;1163,25;8,89;1
2;20;Cereal matinal de milho                      ;100;376,55;0;88,84;2,1;56,42;3,9;405,31;4,74;1
